athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Guillem Pujol,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2784.6,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Szekelyi,HUN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2785.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fares Zitouni,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2788.1,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaspar Andrade Budino,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2795.6,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoltán Drigan,HUN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2797.1,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Lehoux,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2800.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferran Julia Tous,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2840.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathieu Mattelaer,BEL,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2849.1,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez Marcos Godoy,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2873.9,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planella Roger Coma,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2876.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naim Mokhfi,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2890.5,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2892.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vit Ingeduld,CZE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2892.8,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,POR,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2893.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxence Dessoit,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2895.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterios Daldogiannis,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2895.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Vandevelde,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2897.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Jansen,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2901.6,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgios Arniakos,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2910.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clement Kukla,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2962.9,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Nitschke,GER,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2965.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charley Iriart,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,3001.8,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Paula Carvalho,POR,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,3005.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Bouchon,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,3009.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathieu Mathy Ben Rahou,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,3015.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julien Zinsmeister,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,3062.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Pouliot,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,3124.4,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabien Schapman,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,3141.6,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorgos Skotadis,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,3145.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
