athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,
Said Saber,MAR,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7850.60,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2016_06_12_Setubal_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6625.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6626.79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Weinberger,CAN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6627.17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Ryan,USA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6628.37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6635.36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren Dellef Meissner,GER,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6640.07,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Peterson,USA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6641.62,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,BRA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6644.21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,ITA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6644.40,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Enderica Ochoa,ECU,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6646.86,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Cattin-Vidal,FRA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6647.15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,GER,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6648.21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Heron,USA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6648.42,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Szekelyi,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6648.52,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moritz Andreas Bartels,GER,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6650.73,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,BRA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6650.79,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6651.00,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrik Rakos,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6652.13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6661.44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Urbaniak,POL,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6680.44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Kober,GER,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6681.36,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,KAZ,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6681.90,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
