athlete_name,country,status,dob
Fernando Betanzos,MEX,Active,
Wilder Carreno,VEN,Active,
Denis Adeev,RUS,Active,
Arturo Perez Vertti Ferrer,MEX,Active,
Amadou Ndiaye,SEN,Active,
Zedheir Torrez,BOL,Active,
Cristofer Lanuza,CRC,Active,
Idan Mordel,ISR,Active,
Tsz Fung Tse,HKG,Active,
Fabio Dalu,ITA,Active,
Martim Carvalho,POR,Active,
Hugo Alberto Ribeiro,POR,Active,
Abdul-Malik Railoun,RSA,Active,
Adam Pinter,HUN,Active,
Adrien Pezeron,FRA,Active,
Akos Kalmar,HUN,Active,
Alejandro Puebla Martinez,ESP,Active,
Aleksander Lyubavskiy,RUS,Active,
Alexander Cooper,GBR,Active,
Alexander Pichler,AUT,Active,
Alexander Wildenschild,DEN,Active,
Alexandre Valdagua Coutinho,POR,Active,
Alexis Amory,FRA,Active,
Alon Lerner,ISR,Active,
Alper Cagatay Ustununal,TUR,Active,
Andrea Filadelli,ITA,Active,
Andrew Edwards,CAN,Active,
Anthony Mercury,FRA,Active,
Anthony Siou,FRA,Active,
Anton Evsikov,RUS,Active,
Ariel Freiman,ISR,Active,
Ariel Korobov,ISR,Active,
Arnau Honrubia Cerda,ESP,Active,
Alexandre Lages Brion,ESP,Active,
Alexandre Lindmann,FRA,Active,
Alexandre Mouilley,FRA,Active,
Arshak Hambardzumyan,HUN,Active,
Asterios Daldogiannis,GRE,Active,
Aurélien Latapy,FRA,Active,
Axel Parisot,FRA,Active,
Baptiste Decamps,FRA,Active,
Baptiste Kukla,FRA,Active,
Bar Soloveychik,ISR,Active,
Baris Ahmet Yosmaoglu,TUR,Active,
Bartlomiej Kubkowski,POL,Active,
Batuhan Ecrin Pinar,TUR,Active,
Ben Kaplan,ISR,Active,
Benjamin Lortie,CAN,Active,
Carl Goransson,SWE,Active,
Carlos Garach Benito,ESP,Active,
Carlos Quuada,ESP,Active,
Charley Iriart,FRA,Active,
Chris Hisheme,ISR,Active,
Christian Willem Kriel,RSA,Active,
Christopher Bryan,IRL,Active,
Clement Cabioch,FRA,Active,
Clément Habasque,FRA,Active,
